Time,Heart Rate
0,1.2251
0.1,1.20863
0.335483,1.17069
0.619446,1.12856
0.971002,1.08519
1.35356,1.0521
1.76823,1.03399
2.20788,1.0331
2.66699,1.04737
3.13431,1.07126
3.60799,1.09844
4.09073,1.12349
4.55002,1.14404
5.1554,1.17509
5.77462,1.21498
6.36256,1.25328
6.94851,1.28018
7.50081,1.28746
8.0423,1.27587
8.56834,1.25009
9.08406,1.21653
9.59431,1.18036
10.1111,1.14435
10.6463,1.11019
11.2127,1.07997
11.8119,1.05803
12.4113,1.0501
12.9869,1.05796
13.5401,1.07968
14.0768,1.11181
14.6044,1.15025
15.13,1.19055
15.6603,1.22814
16.2015,1.25859
16.7578,1.27793
17.3239,1.28334
17.8835,1.27454
18.4307,1.25361
18.9682,1.22324
19.5008,1.18637
20.0337,1.1465
20.5723,1.1079
21.1213,1.07551
21.6813,1.0542
22.245,1.0473
22.7991,1.05507
23.3394,1.07529
23.8701,1.10518
24.3963,1.14186
24.9239,1.18202
25.4577,1.22152
26.0017,1.2554
26.5568,1.27859
27.1192,1.28741
27.6773,1.28101
28.2225,1.26151
28.7571,1.23202
29.286,1.19566
29.815,1.15571
30.3498,1.11603
30.8957,1.08123
31.4543,1.05635
32.0188,1.04549
32.5757,1.04984
33.1181,1.06763
33.6492,1.09605
34.1741,1.13214
34.6986,1.17261
35.2279,1.21346
35.7663,1.24983
36.3159,1.27659
36.8748,1.28956
37.4333,1.28706
37.9802,1.27056
38.5155,1.24306
39.0438,1.20769
39.5706,1.16765
40.1014,1.12664
40.6416,1.08919
41.1942,1.06037
41.7554,1.0448
42.3133,1.04466
42.8576,1.05884
43.3896,1.08468
43.9139,1.11925
44.4362,1.15943
44.9616,1.20143
45.4948,1.24058
46.0384,1.27164
46.5922,1.28989
47.15,1.29264
47.699,1.2804
48.2359,1.25594
48.7641,1.22241
49.289,1.18295
49.8159,1.14104
50.3503,1.10097
50.8963,1.06776
51.453,1.04647
52.0112,1.0404
52.5589,1.04958
53.093,1.07165
53.6177,1.10373
54.1383,1.1428
54.6601,1.18537
55.1878,1.22707
55.725,1.26269
56.2725,1.28705
56.8274,1.29645
57.3791,1.29004
57.9186,1.26998
58.448,1.23939
58.9718,1.20141
59.4955,1.15932
60.0242,1.11707
60.5629,1.07948
61.1131,1.05185
61.6697,1.03853
62.221,1.04107
62.7587,1.0579
63.2851,1.08621
63.805,1.12306
64.3238,1.16525
64.8464,1.20879
65.3769,1.24874
65.9172,1.27965
66.4667,1.29688
67.0193,1.29806
67.5628,1.28408
68.0947,1.25787
68.6187,1.2226
69.1401,1.1814
69.6639,1.13788
70.1951,1.09646
70.7375,1.06241
71.2895,1.04087
71.8427,1.03504
72.3855,1.04481
72.9153,1.06775
73.4361,1.10096
73.9531,1.14141
74.4713,1.18558
74.9953,1.22901
75.528,1.26628
76.0702,1.29202
76.6198,1.30246
77.1674,1.29662
77.7034,1.27661
78.2295,1.24561
78.75,1.20676
79.27,1.16331
79.7946,1.11924
80.3284,1.07944
80.873,1.04938
81.4243,1.03372
81.9721,1.03435
82.5072,1.04994
83.0309,1.07771
83.5478,1.11473
84.0629,1.15785
84.5811,1.20319
85.1063,1.24579
85.6404,1.27998
86.1832,1.30076
86.7312,1.30525
87.2727,1.29374
87.8028,1.26904
88.3245,1.23433
88.8425,1.19276
89.3619,1.14777
89.8874,1.10371
90.423,1.06585
90.9682,1.0397
91.5172,1.02917
92.0591,1.03502
92.5881,1.05516
93.1072,1.08669
93.6211,1.12667
94.1351,1.17177
94.6533,1.21774
95.1791,1.25922
95.7136,1.29046
96.256,1.30691
96.8011,1.30658
97.3371,1.29071
97.8624,1.26241
98.3808,1.22485
98.8971,1.1812
99.416,1.13513
99.9421,1.09132
100.478,1.05532
101.023,1.03251
101.569,1.02608
102.105,1.0359
102.629,1.05948
103.145,1.09389
103.657,1.13615
104.17,1.18276
104.688,1.22911
105.213,1.26957
105.747,1.29837
106.289,1.31147
106.83,1.30754
107.362,1.28847
107.883,1.2575
108.399,1.21778
108.914,1.17251
109.432,1.12559
109.959,1.08196
110.495,1.04739
111.038,1.02705
111.58,1.02354
112.112,1.03615
112.632,1.06218
113.145,1.09871
113.655,1.14272
114.167,1.19053
114.684,1.2373
115.209,1.27713
115.742,1.30434
116.281,1.3152
116.82,1.3089
117.348,1.28769
117.867,1.25487
118.38,1.21356
118.894,1.16702
119.411,1.11929
119.937,1.07554
120.471,1.04166
121.012,1.0227
121.552,1.02089
122.08,1.03517
122.598,1.06274
123.108,1.10071
123.617,1.14602
124.127,1.19489
124.644,1.24228
125.167,1.28214
125.698,1.30877
126.235,1.31864
126.77,1.31119
127.296,1.28884
127.812,1.25492
128.324,1.21254
128.836,1.16497
129.353,1.11635
129.877,1.07199
130.41,1.03792
130.948,1.01914
131.485,1.01775
132.011,1.03259
132.526,1.06084
133.035,1.09958
133.542,1.14579
134.051,1.19563
134.566,1.24399
135.087,1.28465
135.615,1.31185
136.149,1.32205
136.683,1.31467
137.207,1.29217
137.722,1.25789
138.232,1.21494
138.742,1.16659
139.257,1.11696
139.779,1.07144
140.309,1.03616
140.845,1.01628
141.38,1.014
141.905,1.02829
142.419,1.0563
142.926,1.09514
143.431,1.14181
143.938,1.19254
144.451,1.24221
144.97,1.28452
145.495,1.31349
146.026,1.32538
146.558,1.31936
147.081,1.29774
147.594,1.26389
148.103,1.22094
148.612,1.17208
149.124,1.12137
149.644,1.07414
150.171,1.03666
150.704,1.01435
151.237,1.00982
151.761,1.02234
152.275,1.04914
152.781,1.08732
153.285,1.13393
153.79,1.18536
154.3,1.2366
154.816,1.28134
155.337,1.31328
155.865,1.32826
156.396,1.32499
156.918,1.3054
157.431,1.27287
157.939,1.23057
158.446,1.18162
158.956,1.12988
159.473,1.08055
159.997,1.03994
160.526,1.01392
161.057,1.00569
161.582,1.01511
162.095,1.0396
162.601,1.07623
163.103,1.12211
163.606,1.17385
164.114,1.22673
164.627,1.2745
165.144,1.31052
165.668,1.33001
166.197,1.331
166.719,1.31475
167.233,1.28458
167.74,1.24374
168.245,1.19529
168.753,1.14283
169.266,1.09125
169.786,1.04682
170.312,1.01586
170.841,1.00243
171.366,1.00724
171.88,1.02815
172.386,1.06216
172.887,1.10646
173.388,1.15788
173.892,1.2121
174.402,1.26318
174.916,1.3042
175.436,1.32955
175.961,1.33642
176.484,1.32507
176.998,1.29851
177.506,1.26015
178.01,1.21302
178.515,1.16042
179.024,1.10684
179.54,1.05825
180.062,1.02136
180.588,1.00126
181.113,0.999793
181.629,1.0156
182.136,1.04573
182.637,1.08733
183.136,1.13748
183.637,1.19237
184.143,1.24655
184.654,1.29311
185.169,1.3255
185.689,1.33987
186.213,1.33524
186.729,1.31385
187.236,1.27922
187.74,1.23448
188.243,1.18269
188.748,1.12778
189.26,1.07525
189.778,1.03186
190.3,1.0038
190.824,0.994264
191.343,1.00316
191.851,1.02787
192.352,1.06543
192.85,1.11306
193.349,1.16747
193.852,1.22393
194.359,1.27591
194.869,1.31618
195.384,1.3395
195.905,1.3436
196.423,1.32932
196.932,1.3
197.436,1.259
197.937,1.20929
198.44,1.15424
198.947,1.09864
199.461,1.04887
199.979,1.01194
200.499,0.992683
201.019,0.992564
201.531,1.00996
202.033,1.04184
202.531,1.08539
203.028,1.13776
203.527,1.19502
204.03,1.25145
204.538,1.29974
205.047,1.33314
205.562,1.34787
206.081,1.34307
206.593,1.32108
207.098,1.28549
207.598,1.23943
208.099,1.18588
